LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,
Dog Senior Citizen or Disability Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,12/29/2016 12:14
Dog Senior Citizen or Disability Duplicate,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,4/20/2017 13:04
Dog Senior Citizen or Disability Duplicate,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,3/20/2017 13:10
Dog Individual Neutered Male,SHIH TZU,BLACK/BROWN,TELLER,15146,2017,2/10/2017 13:32
Dog Individual Neutered Male,SHIH TZU,WHITE/TAN,JACK,15146,2017,2/10/2017 13:32
Dog Senior Citizen or Disability Neutered Male,OLD ENG SHEEPDOG,WHITE/GREY,MAX,15129,2017,12/12/2016 11:09
Dog Individual Female,BOXER MIX,BROWN,ALLY,15237,2017,8/1/2017 12:15
Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,BAILEY,15236,2017,12/15/2016 14:50
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,RAKEISHA,15025,2017,12/19/2016 15:13
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA MIX,WHITE/TAN,ZEEBA,15025,2017,12/19/2016 15:13
Dog Individual Neutered Male,BOXER MIX,WHITE/BROWN,TYSON,15221,2017,12/20/2016 14:59
Dog Individual Spayed Female,MIXED,BLACK,DAISY,15147,2017,2/22/2017 14:26
Dog Individual Neutered Male,GER SHEPHERD MIX,BRINDLE,LUIGI,15017,2017,2/13/2017 15:02
Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,RYDER,15120,2017,4/4/2017 8:25
Dog Individual Spayed Female,MIXED,WHITE/TAN,BUNNY,15144,2017,7/21/2017 13:26
Dog Senior Citizen or Disability Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,TIA,15235,2017,2/8/2017 15:41
Dog Individual Neutered Male,COCKER SPANIEL,BLACK,BUSTER,15024,2017,12/20/2016 8:44
Dog Individual Spayed Female,MIXED,BLACK,CALI,15132,2017,6/23/2017 12:00
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,YELLOW,LIZZY,15215,2017,5/12/2017 16:16
Dog Individual Neutered Male,SHIH TZU,SPOTTED,COUPE,15071,2017,5/17/2017 13:22
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MAX,15122,2017,
Dog Senior Citizen or Disability Neutered Male,BICHON FRISE,WHITE,BAILEY,15146,2017,12/15/2016 16:01
Dog Individual Neutered Male,BEAGLE,BLACK/BROWN,LOUIE,15239,2017,1/17/2017 9:11
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,TANNER,15101,2017,1/4/2017 15:57
Dog Individual Spayed Female,COCKER SPANIEL MIX,SPOTTED,LEXI,15044,2017,12/12/2016 9:35
Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,CHARLIE,15143,2017,12/12/2016 9:18
Dog Senior Citizen or Disability Neutered Male,GREYHOUND,BRINDLE,SHADOW,15101,2017,5/2/2017 16:20
Dog Individual Neutered Male,MIXED,BLACK WITH WHITE,CHUBBS,15146,2017,10/17/2017 12:59
Dog Individual Female,AM PIT BULL TERRIER,BLACK,COOKIE,15132,2017,7/11/2017 12:48
Dog Senior Citizen or Disability Male,GOLDENDOODLE,BLACK,PEPE' LE PEU,15238,2017,1/9/2017 14:20
Dog Individual Neutered Male,COCKER SPANIEL,BLACK,COOPER,15017,2017,3/28/2017 13:23
Dog Individual Spayed Female,SHIH TZU,WHITE/BLACK,BELLE,15065,2017,1/6/2017 9:24
Dog Individual Spayed Female,LHASA APSO,WHITE/BROWN,POOKIE,15137,2017,12/16/2016 8:40
Dog Senior Citizen or Disability Spayed Female,LHASA APSO,WHITE/BROWN,POOKIE,15137,2017,12/16/2016 8:40
Dog Individual Neutered Male,MIXED,BLACK/TAN,VEGAS,15236,2017,3/24/2017 8:38
Dog Senior Citizen or Disability Spayed Female,DACHSHUND,RED,RUBY,15216,2017,12/28/2016 16:31
Dog Senior Citizen or Disability Male,LABRADOR RETRIEVER,BLACK,GRISWALD,15148,2017,12/28/2016 16:31
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SKYLER,15137,2017,12/14/2016 9:08
Dog Individual Male,SIB HUSKY,WHITE/BLACK,STORM,15122,2017,3/6/2017 13:54
Dog Individual Spayed Female,GER SHORTHAIR POINT,SPOTTED,KACIE,15037,2017,5/30/2017 13:20
Dog Individual Neutered Male,TERRIER,TAN,MAX,15235,2017,4/10/2017 11:22
Dog Individual Spayed Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,12/22/2016 8:56
Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,12/22/2016 8:56
Dog Senior Citizen or Disability Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,1/24/2017 14:51
Dog Individual Spayed Female,LHASA APSO,CREAM,MUFFIN,15243,2017,1/5/2017 10:04
Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,BUCK,15101,2017,12/16/2016 16:25
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,SPOTTED,MITZE,15034,2017,3/22/2017 15:19
Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,KAYLA,15120,2017,12/22/2016 16:28
Dog Individual Neutered Male,BORD COLLIE,WHITE/BLACK,FINNEY,15147,2017,1/5/2017 16:35
Dog Individual Neutered Male,MIXED,BLACK/TAN/WHITE,OTIS,15221,2017,1/18/2017 9:06
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,BUDDY,15147,2017,10/26/2017 7:40
Dog Individual Male,DOBERMAN PINSCHER,BLACK,STORM,15018,2017,6/2/2017 13:01
Dog Individual Neutered Male,LAB MIX,BLACK,BEAR,15024,2017,1/17/2017 11:26
Dog Individual Neutered Male,LHASA APSO,WHITE/BROWN,BRADY,15139,2017,12/30/2016 11:15
Dog Individual Neutered Male,BOXER MIX,WHITE/BLACK/BROWN,LARS,15229,2017,12/12/2016 9:35
Dog Individual Female,BORD COLLIE,WHITE/BLACK,LACEY,15146,2017,1/19/2017 15:56
Dog Individual Neutered Male,BRITTANY SPANIEL,WHITE,MACKENZIE,15126,2017,12/30/2016 15:41
Dog Senior Citizen or Disability Spayed Female,TIBETAN TERRIER,WHITE/GREY,SANTI,15238,2017,5/9/2017 16:32
Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,DAKOTA,15126,2017,6/1/2017 15:06
Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,LISA,15037,2017,12/28/2016 16:14
Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,SAMSON,15084,2017,1/5/2017 12:50
Dog Individual Female,DACHSHUND,BLACK/RED,PEPPY,15237,2017,5/8/2017 16:21
Dog Individual Neutered Male,MIXED,BLACK,KODY,15102,2017,1/12/2017 16:34
Dog Individual Female,DOBERMAN PINSCHER,BLUE,PANDORA,15049,2017,10/11/2017 14:27
Dog Senior Citizen or Disability Male,BOSTON TERRIER,WHITE/BLACK,TARGET,15237,2017,1/11/2017 14:40
Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,WHITE/BLACK,EDWINA,15237,2017,1/11/2017 14:40
Dog Individual Spayed Female,SHIH TZU,WHITE/YELLOW,WEEGIE,15044,2017,12/12/2016 13:35
Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/YELLOW,WEEGIE,15044,2017,12/12/2016 13:35
Dog Senior Citizen or Disability Female,DACHSHUND,BROWN,LULA,15239,2017,1/10/2017 15:54
Dog Senior Citizen or Disability Spayed Female,TERRIER,WHEATON,CASHELL,15101,2017,12/30/2016 8:55
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,ROSEBUD,15071,2017,1/26/2017 14:44
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK,MOLMARK,15143,2017,1/10/2017 16:18
Dog Individual Neutered Male,MIXED,WHITE/BLACK,MOLMARK,15143,2017,12/22/2016 8:40
Dog Individual Spayed Female,COCKER SPANIEL,WHITE/BLACK/BROWN,MAGGIE,15037,2017,3/27/2017 14:51
Dog Individual Spayed Female,LAB MIX,BLACK,DOG,15084,2017,8/1/2017 12:15
Dog Individual Neutered Male,VIZSLA,RED,ALI,15241,2017,12/2/2016 8:42
Dog Individual Spayed Female,LAB MIX,BLACK,MINNIE,15218,2017,12/29/2016 15:14
Dog Senior Citizen or Disability Spayed Female,MIXED,SPOTTED,TINA,15147,2017,2/27/2017 13:03
Dog Individual Neutered Male,MALTESE,WHITE,BAXTER,15229,2017,3/27/2017 12:26
Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,PEBBLES,15234,2017,12/20/2016 8:54
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BROWN,HEIDI,15243,2017,12/13/2016 13:52
Dog Individual Neutered Male,GER SHEPHERD MIX,BLACK,BODIE,15228,2017,12/7/2016 16:19
Dog Individual Female,MIXED,SABLE,KASI,15084,2017,3/3/2017 15:09
Dog Individual Neutered Male,BEAGLE MIX,WHITE/BLACK,OSCAR,15106,2017,12/13/2016 13:52
Dog Senior Citizen or Disability Neutered Male,BULLDOG,WHITE/BLACK/BROWN,MICKEY,15120,2017,10/30/2017 13:37
Dog Senior Citizen or Disability Male,BOXER,BROWN,CAILLOU,15037,2017,8/4/2017 13:00
Dog Individual Neutered Male,PARSON RUSSELL TERR,SPOTTED,BRADY,15106,2017,12/6/2016 15:29
Dog Individual Spayed Female,LABRADOR RETRIEVER,WHITE,MAGGIE,15108,2017,12/15/2016 16:07
Dog Individual Spayed Female,LABRADOODLE,MULTI,IZZIE,15136,2017,2/22/2017 15:37
Dog Individual Neutered Male,BEAGLE,MULTI,CUTTER,15122,2017,1/12/2017 16:34
Dog Individual Spayed Female,GER SHEPHERD,WHITE,HEMI,15045,2017,12/9/2016 10:27
Dog Individual Spayed Female,GER SHEPHERD MIX,WHITE/BLACK/BROWN,ROXY,15116,2017,2/17/2017 9:54
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,NOOKIE,15209,2017,12/14/2016 9:08
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,GOLD,SONNY,15209,2017,12/14/2016 9:08
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,BRINDLE,DUSTY,15137,2017,12/28/2016 16:31
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BLACK/TAN,LUCY,15135,2017,12/27/2016 15:22
Dog Individual Spayed Female,PEKINGESE,RED,TEDDIE,15063,2017,1/30/2017 10:57
Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK/BROWN,ABBY,15112,2017,1/3/2017 8:51
Dog Individual Spayed Female,HOUND MIX,BROWN,RILEY,15137,2017,6/6/2017 14:52
Dog Individual Neutered Male,PARSON RUSSELL TERR,WHITE,JERRY,15116,2017,1/4/2017 9:01
Dog Individual Neutered Male,MIXED,BLACK/BROWN,DANNY,15120,2017,1/25/2017 10:03
Dog Individual Neutered Male,LHASA APSO,SPOTTED,BRINKLEY,15237,2017,1/11/2017 14:40
Dog Individual Male,YORKSHIRE TERRIER,BLACK/TAN,GIZMO,15136,2017,12/15/2016 16:01
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,TOODLES,15133,2017,5/18/2017 15:34
Dog Individual Spayed Female,MIXED,BROWN,SCOOTER,15136,2017,12/14/2016 13:54
Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL MIX,BLACK,LADY,15143,2017,1/4/2017 15:14
Dog Individual Male,MALTESE,WHITE,CHANCE,15239,2017,2/3/2017 15:54
Dog Individual Female,MALTESE,WHITE,JULIE,15239,2017,2/3/2017 15:54
Dog Individual Female,GOLDENDOODLE,BROWN,SADIE,15044,2017,6/9/2017 12:40
Dog Individual Male,WEIMARANER,SILVER,RUGER,15026,2017,2/2/2017 9:43
Dog Senior Citizen or Disability Spayed Female,WELSH CORGI PEMBROK,BLACK/TAN/WHITE,PEGGY SUE,15235,2017,1/6/2017 14:42
Dog Individual Neutered Male,MIXED,WHITE,CHOMPIE,15215,2017,5/31/2017 15:21
Dog Individual Spayed Female,CHIHUAHUA,.,ROSIE,15223,2017,12/12/2016 15:32
Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BLACK,MOLLIE,15102,2017,12/28/2016 16:13
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,DUCHESS,15210,2017,12/6/2016 8:45
Dog Senior Citizen or Disability Neutered Male,AM ESKIMO DOG,TAN,DYIKE,15209,2017,1/17/2017 14:56
Dog Senior Citizen or Disability Male,GER SHEPHERD,SPOTTED,MAX,15071,2017,12/16/2016 9:29
Dog Individual Male,YORKSHIRE TERRIER,BLACK/BROWN,ANGEL,15235,2017,12/7/2016 9:57
Dog Senior Citizen or Disability Spayed Female,BOXER,BRINDLE,MAGGIE,15236,2017,2/16/2017 16:23
Dog Individual Spayed Female,MIXED,BROWN,ZOEY,15102,2017,4/6/2017 9:53
Dog Individual Spayed Female,WEIMARANER,BLUE,ZOIYA,15235,2017,12/12/2016 13:35
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA MIX,TAN,ANNABELLE,15205,2017,1/12/2017 10:27
Dog Individual Neutered Male,LAB MIX,SPOTTED,PIPPIN,15090,2017,12/14/2016 16:17
Dog Individual Spayed Female,COCKAPOO,CREAM,SNICKERS,15065,2017,12/13/2016 16:04
Dog Individual Spayed Female,AM PITT BULL MIX,SPOTTED,MARLY,15024,2017,6/27/2017 12:53
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,JADE,15220,2017,12/28/2016 16:31
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,JORDAN,15146,2017,2/15/2017 14:40
Dog Senior Citizen or Disability Neutered Male,BASSET HOUND,MULTI,HAMMER,15071,2017,1/9/2017 11:07
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BROWN,LULU,15241,2017,5/8/2017 16:22
Dog Individual Spayed Female,ST BERNARD,SPOTTED,BELLA,15235,2017,8/15/2017 12:04
Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD,BLACK/TAN,LUKE,15237,2017,1/3/2017 14:03
Dog Individual Spayed Female,LHASA APSO MIX,BLONDE,BAILEY,15044,2017,1/5/2017 15:51
Dog Individual Spayed Female,MIXED,BLACK/BROWN,ZENA,15147,2017,2/22/2017 9:14
Dog Individual Spayed Female,COCKAPOO,BUFF,BELLA,15126,2017,5/9/2017 16:32
Dog Senior Citizen or Disability Female,AUS SHEPHERD,TRI-COLOR,HALEY,15044,2017,5/24/2017 11:40
Dog Senior Citizen or Disability Spayed Female,CHINESE CRESTED,WHITE,GINGER,15108,2017,5/8/2017 14:55
Dog Senior Citizen or Disability Neutered Male,TERRIER MIX,BLACK,BLACKJACK,15106,2017,4/20/2017 14:43
Dog Individual Neutered Male,MIXED,SPOTTED,BERNIE,15209,2017,4/25/2017 15:11
Dog Senior Citizen or Disability Neutered Male,AKITA,WHITE/BROWN,AMATSUMIKOTO,15215,2017,2/22/2017 9:14
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,TRIXIE,15227,2017,12/14/2016 16:16
Dog Individual Neutered Male,WELSH CORGI PEMBROK,TAN,FRANKIE,15136,2017,6/20/2017 8:38
Dog Individual Neutered Male,BEAGLE,MULTI,CHUCK,15132,2017,4/12/2017 16:05
Dog Individual Neutered Male,MIXED,SPOTTED,KEELAN,15116,2017,7/14/2017 14:59
Dog Individual Female,LAB MIX,BROWN,BAILEY,15108,2017,5/9/2017 14:47
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,YELLOW,BRIDGER,15238,2017,12/15/2016 11:13
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BROWN,SHY,15216,2017,12/15/2016 12:09
Dog Individual Neutered Male,BOXER,BROWN,OTIS,15133,2017,1/25/2017 10:03
Dog Senior Citizen or Disability Male,MIXED,BLACK,BLACK TOP,15147,2017,2/13/2017 15:02
Dog Senior Citizen or Disability Female,MIXED,WHITE,SOPHIE,15122,2017,3/6/2017 9:42
Dog Senior Citizen or Disability Male,GER SHEPHERD,BLACK/RED,SPARKY,15136,2017,6/13/2017 13:52
Dog Senior Citizen or Disability Male,GER SHEPHERD,BLACK/RED,SPARKY,15136,2017,6/13/2017 13:52
Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147,2017,12/22/2016 8:56
Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147,2017,2/1/2017 15:03
Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,CJ,15137,2017,12/30/2016 8:29
Dog Individual Spayed Female,BOSTON TERRIER,BRINDLE,HANNAH,15104,2017,12/21/2016 8:35
Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,BRINDLE,HANNAH,15104,2017,12/21/2016 8:35
Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BLACK/TAN,SASSY,15024,2017,12/21/2016 10:03
Dog Senior Citizen or Disability Neutered Male,BEAGLE,MULTI,JACK,15209,2017,12/14/2016 16:17
Dog Senior Citizen or Disability Male,WELSH TERRIER,BLACK/RED,RUHN,15090,2017,5/5/2017 13:48
Dog Individual Spayed Female,LAB MIX,BRINDLE,SYDNEY,15143,2017,12/16/2016 8:25
Dog Individual Spayed Female,MIXED,BROWN,SNICKERS,15147,2017,2/13/2017 11:54
Dog Individual Spayed Female,MIXED,BLACK/BROWN,HERA,15045,2017,5/3/2017 14:44
Dog Senior Citizen or Disability Spayed Female,SHIH TZU MIX,BEIGE,GINGER,15146,2017,12/12/2016 13:35
Dog Individual Neutered Male,GREYHOUND,RED,BEAU,15234,2017,1/5/2017 12:45
Dog Individual Neutered Male,WELSH CORGI CARDIGA,WHITE/BROWN,MONTY,15146,2017,1/19/2017 15:56
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,GOLD,JORDI,15238,2017,1/19/2017 15:57
Dog Senior Citizen or Disability Spayed Female,TERRIER,BLACK,GYPSY,15236,2017,12/16/2016 16:26
Dog Individual Spayed Female,MIXED,BROWN,GYPSY,15037,2017,2/24/2017 15:28
Dog Individual Neutered Male,HOUND MIX,BROWN,BUSTER,15235,2017,1/19/2017 15:57
Dog Senior Citizen or Disability Female,ENG COCKER SPANIEL,BLACK,APRIL VIOLET,15129,2017,1/13/2017 12:48
Dog Individual Neutered Male,FRENCH BULLDOG,BRINDLE,OLIVER,15215,2017,10/4/2017 12:36
Dog Senior Citizen or Disability Female,POODLE MIN,SILVER,SILVER KAMEO,15229,2017,1/6/2017 14:42
Dog Senior Citizen or Disability Neutered Male,FOX TERRIER WIRE,WHITE/BROWN,GROMMET,15133,2017,12/22/2016 8:56
Dog Individual Spayed Female,SIB HUSKY,WHITE/BLACK/BROWN,REMI,15017,2017,2/9/2017 10:55
Dog Individual Spayed Female,MIXED,WHITE/BLACK/BROWN,EL,15135,2017,3/3/2017 10:51
Dog Individual Neutered Male,GOLDENDOODLE,BEIGE,CHARLIE,15236,2017,12/15/2016 9:57
Dog Individual Male,DOBERMAN PINSCHER,RED,WINSTON,15057,2017,2/21/2017 12:06
Dog Senior Citizen or Disability Male,BEAGLE,MULTI,JACK,15057,2017,1/17/2017 15:35
Dog Senior Citizen or Disability Spayed Female,BEAGLE,BLACK/BROWN,MAGGIE,15057,2017,1/17/2017 15:35
Dog Individual Female,GER SHEPHERD,BLACK/RED,LAYLA,15132,2017,1/25/2017 16:04
Dog Individual Neutered Male,GER SHEPHERD,BLACK/TAN,TANNAR,15120,2017,12/8/2016 10:09
Dog Individual Spayed Female,WEIMARANER,GREY,TRALEE,15126,2017,1/30/2017 13:52
Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,BARNABY,15112,2017,4/10/2017 15:24
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,MOOT,15238,2017,12/13/2016 15:53
Dog Senior Citizen or Disability Male,BEAGLE,SPOTTED,RENO,15120,2017,4/4/2017 12:37
Dog Individual Spayed Female,DACHSHUND,BLACK/TAN,KATIE,15332,2017,2/24/2017 15:28
Dog Individual Spayed Female,GER SHEPHERD MIX,BROWN,HANNAH,15143,2017,2/10/2017 8:37
Dog Individual Male,MIXED,BLACK,BARON,15143,2017,12/8/2016 8:33
Dog Individual Neutered Male,TREE WALK COONHOUND,WHITE/BLACK/BROWN,FRED,15239,2017,12/13/2016 15:24
Dog Individual Neutered Male,ROTTWEILER MIX,BLACK/BROWN,BEAR,15017,2017,5/9/2017 16:32
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,LIBBY,15108,2017,2/15/2017 15:53
Dog Individual Neutered Male,RETRIEVER MIX,WHITE/YELLOW,PEPSI,15071,2017,2/3/2017 15:52
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,MACIE,15106,2017,3/20/2017 15:02
Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,WHITE/BLACK,KENO,15137,2017,1/18/2017 15:34
Dog Senior Citizen or Disability Spayed Female,PUG,BLACK,BELLA,15223,2017,7/14/2017 14:59
Dog Individual Spayed Female,GER SHEPHERD MIX,BRINDLE,ALEXIS,15101,2017,6/20/2017 15:26
Dog Senior Citizen or Disability Neutered Male,SHETLAND SHEEPDOG,BLACK/TAN/WHITE,ROCKY,15229,2017,12/7/2016 16:19
Dog Individual Spayed Female,MIXED,BLACK,GIGI,15102,2017,12/16/2016 8:40
Dog Individual Neutered Male,MIXED,WHITE,BAILEY,15227,2017,1/12/2017 9:36
Dog Individual Spayed Female,COCKAPOO,CREAM,PRINCESS,15227,2017,1/3/2017 8:52
Dog Individual Neutered Male,MIXED,SPOTTED,SNOOPY,15133,2017,4/24/2017 16:16
Dog Individual Neutered Male,SHIBA INU,RED,TITO,15116,2017,
Dog Individual Spayed Female,MALTESE,WHITE,SADIE,15227,2017,1/12/2017 9:36
Dog Senior Citizen or Disability Neutered Male,TERRIER,WHITE,JOHN,15137,2017,3/29/2017 15:50
Dog Individual Neutered Male,W HGHLND WH TERRIER,WHITE,GORDON,15102,2017,4/17/2017 11:47
Dog Senior Citizen or Disability Spayed Female,COLLIE MIX,TAN,MANDY,15144,2017,2/13/2017 16:12
Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,STEWART,15102,2017,1/20/2017 9:00
Dog Senior Citizen or Disability Male,MIXED,WHITE/BLACK/BROWN,MALCOLM,15218,2017,2/21/2017 12:06
Dog Senior Citizen or Disability Neutered Male,BEAGLE,BLACK/TAN,SGT. BRICK,15147,2017,5/31/2017 9:08
Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,ROBBIE,15102,2017,3/7/2017 16:09
Dog Individual License - FREE,GER SHEPHERD,BLACK/FAWN,RICO,15122,2017,1/4/2017 14:13
Dog Individual Neutered Male,MIXED,BLACK,ACE,15221,2017,3/21/2017 13:20
Dog Individual Neutered Male,AM ESKIMO DOG,WHITE,FROSTY,15037,2017,2/13/2017 16:12
Dog Individual Spayed Female,MIXED,BROWN,LUCY,15014,2017,1/24/2017 10:13
Dog Individual Spayed Female,LAB MIX,BLACK,PINEAPPLE,15122,2017,7/5/2017 13:27
Dog Individual Spayed Female,MIXED,WHITE,FLUFFY,15237,2017,1/9/2017 16:02
Dog Individual Neutered Male,SHIH TZU,BUFF,BAILEY,15056,2017,3/6/2017 16:02
Dog Senior Citizen or Disability Neutered Male,BOXER,BROWN,BUDDY,15116,2017,4/27/2017 15:54
Dog Senior Citizen or Disability Neutered Male,POODLE MIN,APRICOT,BUDDY,15221,2017,1/18/2017 9:06
Dog Individual Neutered Male,SHIH TZU,SPOTTED,BAXTER,15239,2017,5/2/2017 16:20
Dog Individual Spayed Female,MIXED,BROWN,PUCK,15108,2017,3/20/2017 13:48
Dog Senior Citizen or Disability Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,JACKSON,15143,2017,4/24/2017 15:06
Dog Individual Female,RAT TERRIER,WHITE/BROWN,ROXIE,15228,2017,4/17/2017 11:47
Dog Individual Neutered Male,LABRADOR RETRIEVER,GOLD,TANK,15144,2017,4/24/2017 10:47
Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216,2017,12/29/2016 15:15
Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216,2017,1/30/2017 10:57
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,BUTTONS,15049,2017,12/15/2016 16:07
Dog Individual Neutered Male,LAB MIX,BLACK,DEXTER,15116,2017,5/15/2017 13:01
Dog Individual Spayed Female,MIXED,BLACK,LEXXI,15122,2017,4/13/2017 15:10
Dog Senior Citizen or Disability Spayed Female,DOBERMAN MIX,BLACK/BROWN,JUSTICE,15234,2017,12/19/2016 8:49
Dog Individual Spayed Female,FRENCH BULLDOG,CREAM,MOU ROE,15205,2017,1/3/2017 8:39
Dog Senior Citizen or Disability Spayed Female,FRENCH BULLDOG,CREAM,MOU ROE,15205,2017,1/3/2017 8:39
Dog Senior Citizen or Disability Spayed Female,SHETLAND SHEEP MIX,WHITE/BROWN,SUMMER RAIN,15243,2017,12/20/2016 8:45
Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,SMOKY,15239,2017,3/27/2017 12:26
